run,generation,evaluations,best_fitness
1,0,1500,72822
1,1,3000,76428
1,2,4500,78210
1,3,6000,79111
1,4,7500,80281
1,5,9000,80910
1,6,10500,81883
1,7,12000,82797
1,8,13500,83197
1,9,15000,83738
1,10,16500,83942
1,11,18000,84005
1,12,19500,84428
1,13,21000,84551
1,14,22500,84756
1,15,24000,85381
1,16,25500,85442
1,17,27000,85533
1,18,28500,85710
1,19,30000,85980
1,20,31500,86169
1,21,33000,86289
1,22,34500,86485
1,23,36000,86528
1,24,37500,86603
1,25,39000,86637
1,26,40500,86698
1,27,42000,86718
1,28,43500,86772
1,29,45000,86844
1,30,46500,86889
1,31,48000,86936
1,32,49500,87017
1,33,51000,87074
1,34,52500,87172
1,35,54000,87248
1,36,55500,87347
1,37,57000,87347
1,38,58500,87392
1,39,60000,87483
1,40,61500,87491
1,41,63000,87557
1,42,64500,87619
1,43,66000,87654
1,44,67500,87655
1,45,69000,87683
1,46,70500,87690
1,47,72000,87700
1,48,73500,87720
1,49,75000,87720
1,50,76500,87720
1,51,78000,87757
1,52,79500,87800
1,53,81000,87800
1,54,82500,87837
1,55,84000,87847
1,56,85500,87912
1,57,87000,87926
1,58,88500,87926
1,59,90000,87944
1,60,91500,87974
1,61,93000,87978
1,62,94500,87996
1,63,96000,88000
1,64,97500,88007
1,65,99000,88007
1,66,100500,88022
1,67,102000,88038
1,68,103500,88049
1,69,105000,88069
1,70,106500,88073
1,71,108000,88087
1,72,109500,88094
1,73,111000,88101
1,74,112500,88104
1,75,114000,88107
1,76,115500,88125
1,77,117000,88125
1,78,118500,88139
1,79,120000,88151
1,80,121500,88153
1,81,123000,88161
1,82,124500,88173
1,83,126000,88190
1,84,127500,88196
1,85,129000,88199
1,86,130500,88207
1,87,132000,88216
1,88,133500,88237
1,89,135000,88239
1,90,136500,88271
1,91,138000,88288
1,92,139500,88289
1,93,141000,88302
1,94,142500,88302
1,95,144000,88314
1,96,145500,88323
1,97,147000,88336
1,98,148500,88341
1,99,150000,88341
2,0,1500,73242
2,1,3000,75912
2,2,4500,78572
2,3,6000,80476
2,4,7500,81294
2,5,9000,81336
2,6,10500,81972
2,7,12000,82604
2,8,13500,82890
2,9,15000,83287
2,10,16500,83596
2,11,18000,84013
2,12,19500,84282
2,13,21000,84464
2,14,22500,84825
2,15,24000,84914
2,16,25500,85096
2,17,27000,85207
2,18,28500,85357
2,19,30000,85513
2,20,31500,85701
2,21,33000,85737
2,22,34500,86064
2,23,36000,86064
2,24,37500,86118
2,25,39000,86321
2,26,40500,86329
