	PC_1	PC_2	PC_3	PC_4	PC_5	PC_6	PC_7	PC_8	PC_9	PC_10	PC_11	PC_12	PC_13	PC_14	PC_15	PC_16	PC_17	PC_18	PC_19	PC_20	PC_21	PC_22	PC_23	PC_24	PC_25	PC_26	PC_27	PC_28	PC_29	PC_30	PC_31	PC_32	PC_33	PC_34	PC_35	PC_36	PC_37	PC_38	PC_39	PC_40	PC_41	PC_42	PC_43	PC_44	PC_45	PC_46	PC_47	PC_48	PC_49	PC_50	PC_51	PC_52	PC_53	PC_54	PC_55	PC_56	PC_57	PC_58	PC_59	PC_60	PC_61	PC_62	PC_63	PC_64	PC_65	PC_66	PC_67	PC_68	PC_69	PC_70	PC_71	PC_72	PC_73	PC_74	PC_75	PC_76	PC_77	PC_78	PC_79	PC_80	PC_81	PC_82	PC_83	PC_84	PC_85	PC_86	PC_87	PC_88	PC_89	PC_90	PC_91	PC_92	PC_93	PC_94	PC_95	PC_96	PC_97	PC_98	PC_99	PC_100
Servis_1	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
Servis_2	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
Servis_3	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48
Servis_4	10	13	16	19	22	25	28	31	34	37	40	43	46	49	12	15	18	21	24	27	30	33	36	39	42	45	48	11	14	17	20	23	26	29	32	35	38	41	44	47	10	13	16	19	22	25	28	31	34	37	40	43	46	49	12	15	18	21	24	27	30	33	36	39	42	45	48	11	14	17	20	23	26	29	32	35	38	41	44	47	10	13	16	19	22	25	28	31	34	37	40	43	46	49	12	15	18	21	24	27
Servis_5	10	14	18	22	26	30	34	38	42	46	10	14	18	22	26	30	34	38	42	46	10	14	18	22	26	30	34	38	42	46	10	14	18	22	26	30	34	38	42	46	10	14	18	22	26	30	34	38	42	46	10	14	18	22	26	30	34	38	42	46	10	14	18	22	26	30	34	38	42	46	10	14	18	22	26	30	34	38	42	46	10	14	18	22	26	30	34	38	42	46	10	14	18	22	26	30	34	38	42	46
Servis_6	10	15	20	25	30	35	40	45	10	15	20	25	30	35	40	45	10	15	20	25	30	35	40	45	10	15	20	25	30	35	40	45	10	15	20	25	30	35	40	45	10	15	20	25	30	35	40	45	10	15	20	25	30	35	40	45	10	15	20	25	30	35	40	45	10	15	20	25	30	35	40	45	10	15	20	25	30	35	40	45	10	15	20	25	30	35	40	45	10	15	20	25	30	35	40	45	10	15	20	25
Servis_7	10	16	22	28	34	40	46	12	18	24	30	36	42	48	14	20	26	32	38	44	10	16	22	28	34	40	46	12	18	24	30	36	42	48	14	20	26	32	38	44	10	16	22	28	34	40	46	12	18	24	30	36	42	48	14	20	26	32	38	44	10	16	22	28	34	40	46	12	18	24	30	36	42	48	14	20	26	32	38	44	10	16	22	28	34	40	46	12	18	24	30	36	42	48	14	20	26	32	38	44
Servis_8	10	17	24	31	38	45	12	19	26	33	40	47	14	21	28	35	42	49	16	23	30	37	44	11	18	25	32	39	46	13	20	27	34	41	48	15	22	29	36	43	10	17	24	31	38	45	12	19	26	33	40	47	14	21	28	35	42	49	16	23	30	37	44	11	18	25	32	39	46	13	20	27	34	41	48	15	22	29	36	43	10	17	24	31	38	45	12	19	26	33	40	47	14	21	28	35	42	49	16	23
Servis_9	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42
Servis_10	10	19	28	37	46	15	24	33	42	11	20	29	38	47	16	25	34	43	12	21	30	39	48	17	26	35	44	13	22	31	40	49	18	27	36	45	14	23	32	41	10	19	28	37	46	15	24	33	42	11	20	29	38	47	16	25	34	43	12	21	30	39	48	17	26	35	44	13	22	31	40	49	18	27	36	45	14	23	32	41	10	19	28	37	46	15	24	33	42	11	20	29	38	47	16	25	34	43	12	21
