run,generation,evaluations,best_fitness
1,0,1000,73247
1,1,2000,76464
1,2,3000,78046
1,3,4000,80024
1,4,5000,80339
1,5,6000,81556
1,6,7000,82392
1,7,8000,83373
1,8,9000,83775
1,9,10000,84173
1,10,11000,84441
1,11,12000,84601
1,12,13000,84820
1,13,14000,85285
1,14,15000,85464
1,15,16000,85609
1,16,17000,85873
1,17,18000,86054
1,18,19000,86154
1,19,20000,86189
1,20,21000,86468
1,21,22000,86661
1,22,23000,86842
1,23,24000,86902
1,24,25000,86912
1,25,26000,86922
1,26,27000,86983
1,27,28000,87029
1,28,29000,87100
1,29,30000,87166
1,30,31000,87192
1,31,32000,87288
1,32,33000,87301
1,33,34000,87379
1,34,35000,87430
1,35,36000,87523
1,36,37000,87603
1,37,38000,87654
1,38,39000,87670
1,39,40000,87712
1,40,41000,87717
1,41,42000,87744
1,42,43000,87755
1,43,44000,87781
1,44,45000,87783
1,45,46000,87790
1,46,47000,87832
1,47,48000,87832
1,48,49000,87848
1,49,50000,87877
1,50,51000,87897
1,51,52000,87959
1,52,53000,87992
1,53,54000,88039
1,54,55000,88052
1,55,56000,88072
1,56,57000,88082
1,57,58000,88107
1,58,59000,88119
1,59,60000,88150
1,60,61000,88193
1,61,62000,88199
1,62,63000,88203
1,63,64000,88209
1,64,65000,88219
1,65,66000,88222
1,66,67000,88234
1,67,68000,88255
1,68,69000,88266
1,69,70000,88277
1,70,71000,88277
1,71,72000,88289
1,72,73000,88305
1,73,74000,88308
1,74,75000,88332
1,75,76000,88342
1,76,77000,88377
1,77,78000,88387
1,78,79000,88389
1,79,80000,88394
1,80,81000,88417
1,81,82000,88417
1,82,83000,88430
1,83,84000,88434
1,84,85000,88439
1,85,86000,88444
1,86,87000,88462
1,87,88000,88463
1,88,89000,88468
1,89,90000,88470
1,90,91000,88476
1,91,92000,88476
1,92,93000,88478
1,93,94000,88478
1,94,95000,88483
1,95,96000,88483
1,96,97000,88483
1,97,98000,88483
1,98,99000,88483
1,99,100000,88483
